"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Como un cliente del sitio
  Quiero completar un proceso de compra completo
  Para adquirir productos exitosamente","11396","Intento de compra con pago cancelado","","Fri May 22 11:44:56 UTC 2026","broken","Fri May 22 11:45:08 UTC 2026","","Flujo de Compra de Producto en E-commerce","Intento de compra con pago cancelado",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","2276","Failed login with invalid credentials","","Fri May 22 11:44:52 UTC 2026","failed","Fri May 22 11:44:54 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1967","Failed login with invalid credentials","","Fri May 22 11:44:54 UTC 2026","passed","Fri May 22 11:44:56 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","2153","Successful login with valid credentials","","Fri May 22 11:44:53 UTC 2026","passed","Fri May 22 11:44:55 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  Como un cliente del sitio
  Quiero completar un proceso de compra completo
  Para adquirir productos exitosamente","12134","Compra exitosa de un producto único","","Fri May 22 11:44:53 UTC 2026","broken","Fri May 22 11:45:05 UTC 2026","","Flujo de Compra de Producto en E-commerce","Compra exitosa de un producto único",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1607","Failed login with invalid credentials","","Fri May 22 11:44:55 UTC 2026","passed","Fri May 22 11:44:56 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  The system must allow student registration by validating data integrity.","18732","Registro exitoso de un estudiante con información completa","","Fri May 22 11:44:31 UTC 2026","broken","Fri May 22 11:44:49 UTC 2026","","Student Enrollment Management","Registro exitoso de un estudiante con información completa",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","19545","Failed login with invalid credentials","","Fri May 22 11:44:31 UTC 2026","failed","Fri May 22 11:44:50 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  The system must allow student registration by validating data integrity.","3169","Fallo en el registro al intentar enviar el formulario vacío","","Fri May 22 11:44:50 UTC 2026","passed","Fri May 22 11:44:53 UTC 2026","","Student Enrollment Management","Fallo en el registro al intentar enviar el formulario vacío",""
"  The system must allow student registration by validating data integrity.","18955","Fallo en el registro por número de teléfono inválido","","Fri May 22 11:44:31 UTC 2026","broken","Fri May 22 11:44:50 UTC 2026","","Student Enrollment Management","Fallo en el registro por número de teléfono inválido",""
"  Como un cliente del sitio
  Quiero completar un proceso de compra completo
  Para adquirir productos exitosamente","29275","Validación de campos obligatorios en facturación","","Fri May 22 11:44:31 UTC 2026","broken","Fri May 22 11:45:00 UTC 2026","","Flujo de Compra de Producto en E-commerce","Validación de campos obligatorios en facturación",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1462","Failed login with invalid credentials","","Fri May 22 11:44:50 UTC 2026","failed","Fri May 22 11:44:52 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
